Quadrat,Station,latitude,longitude,year taken
A,1,49.262,-123.1554,2021
A,2,49.2568,-123.1556,2021
A,3,49.2527,-123.1557,2021
A,4,49.2487,-123.1578,2021
A,5,49.2475,-123.1477,2021
A,6,49.2475,-123.1416,2021
A,7,49.2483,-123.1343,2021
A,8,49.2519,-123.1343,2021
A,9,49.2557,-123.1351,2021
A,10,49.2617,-123.1337,2021
A,11,49.2618,-123.1434,2021
A,12,49.2559,-123.1406,2021
A,13,49.2536,-123.1436,2021
A,14,49.2528,-123.1483,2021
A,15,49.2563,-123.1483,2021
A,16,49.2619,-123.1481,2021
B,1,49.248008,-123.126878,2016
B,2,49.248015,-123.120008,2016
B,3,49.248022,-123.113138,2016
B,4,49.248029,-123.106267,2016
B,5,49.252506,-123.126889,2016
B,6,49.252513,-123.120019,2016
B,7,49.25252,-123.113148,2016
B,8,49.252526,-123.106277,2016
B,9,49.257003,-123.126901,2016
B,10,49.257011,-123.12003,2016
B,11,49.257018,-123.113158,2016
B,12,49.257024,-123.106287,2016
B,13,49.261501,-123.126912,2016
B,14,49.261508,-123.12004,2016
B,15,49.261515,-123.113168,2016
B,16,49.261522,-123.106296,2016
C,1,49.248035,-123.099397,2016
C,2,49.248041,-123.092527,2016
C,3,49.248046,-123.085657,2016
C,4,49.248051,-123.078787,2016
C,5,49.252533,-123.099406,2016
C,6,49.252538,-123.092536,2016
C,7,49.252544,-123.085665,2016
C,8,49.252548,-123.078794,2016
C,9,49.25703,-123.099415,2016
C,10,49.257036,-123.092544,2016
C,11,49.257041,-123.085673,2016
C,12,49.257046,-123.078801,2016
C,13,49.261528,-123.099424,2016
C,14,49.261533,-123.092552,2016
C,15,49.261539,-123.08568,2016
C,16,49.261544,-123.078808,2016
D,1,49.24794,-123.07289,2022
D,2,49.2481,-123.06595,2022
D,3,49.24893,-123.05807,2022
D,4,49.24667,-123.05131,2022
D,5,49.251504,-123.049387,2022
D,6,49.252909,-123.059175,2022
D,7,49.252534,-123.065449,2022
D,8,49.2527,-123.07153,2022
D,9,49.256526,-123.072301,2022
D,10,49.25816,-123.06405,2022
D,11,49.25743,-123.05829,2022
D,12,49.25564,-123.05222,2022
D,13,49.261235,-123.049502,2022
D,14,49.26041,-123.05867,2022
D,15,49.260743,-123.06424,2022
